id,is_canceled,hotel,lead_time,arrival_date_month,arrival_date_week_number,arrival_date_day_of_month,stays_in_weekend_nights,stays_in_week_nights,adults,children,babies,meal,market_segment,distribution_channel,is_repeated_guest,previous_cancellations,previous_bookings_not_canceled,reserved_room_type,assigned_room_type,booking_changes,deposit_type,days_in_waiting_list,customer_type,adr,required_car_parking_spaces,total_of_special_requests
id1,No,Resort,90,July,29,12,2,5,2,0,NA,FB,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient-Party,117.22,0,1
id2,No,Resort,51,July,29,13,1,2,2,0,0,HB,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient,130,NA,0
id3,No,Resort,57,July,29,15,0,2,2,0,0,FB,Groups,Direct,0,0,0,A,C,0,No Deposit,0,Transient-Party,107,NA,0
id4,No,Resort,57,July,29,15,0,2,3,0,0,FB,Groups,Direct,0,0,0,A,C,1,No Deposit,0,Transient-Party,148.23,NA,0
id5,No,Resort,50,July,29,16,0,1,2,0,0,BB,Online TA,TA/TO,0,0,0,F,F,0,No Deposit,0,Transient,123.2,0,0
id6,No,Resort,19,July,29,16,0,3,2,0,0,BB,Online TA,TA/TO,0,0,0,A,D,0,No Deposit,0,Transient,121.33,NA,1
id9,No,Resort,64,July,29,17,2,3,1,0,0,BB,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient-Party,84.8,NA,1
id11,No,Resort,108,July,29,18,2,4,2,1,0,HB,Online TA,TA/TO,0,0,0,A,A,1,No Deposit,0,Transient,147,NA,2
id12,No,Resort,33,July,30,23,0,3,2,0,0,HB,Online TA,TA/TO,0,0,0,D,E,0,No Deposit,0,Transient,184,NA,1
id13,No,Resort,110,July,31,28,2,8,2,NA,0,BB,Offline TA/TO,TA/TO,0,0,0,A,D,1,No Deposit,0,Transient,90.95,NA,1
id15,No,Resort,150,August,33,14,2,5,2,0,0,BB,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient,96.3,NA,1
id16,No,Resort,0,August,34,16,1,0,2,0,0,BB,Online TA,TA/TO,0,0,0,A,G,0,No Deposit,0,Group,195,NA,0
id18,No,Resort,9,August,35,29,2,5,2,0,0,BB,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,0,Transient,146,NA,2
id21,No,Resort,104,September,36,2,1,4,2,0,0,BB,Online TA,TA/TO,0,0,0,A,D,0,No Deposit,0,Transient,71.69,NA,0
id22,No,Resort,328,September,37,6,4,6,2,0,0,BB,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,0,Transient,66.15,NA,1
id23,No,Resort,28,September,37,9,0,1,1,0,0,BB,Corporate,Corporate,0,0,0,A,A,0,No Deposit,0,Transient,80,NA,0
id24,No,Resort,149,September,37,12,2,5,2,0,NA,BB,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient,53.1,NA,0
id25,No,Resort,0,September,38,16,0,1,2,0,0,BB,Direct,Direct,0,0,0,C,C,0,No Deposit,0,Transient,8,1,0
id26,No,Resort,114,September,38,16,2,5,2,0,0,HB,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,0,Contract,85.5,NA,0
id27,No,Resort,85,September,38,16,2,5,2,0,0,BB,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,0,Transient,71.2,NA,1
id28,No,Resort,110,September,38,17,1,3,1,NA,0,BB,Direct,Direct,0,0,0,A,A,1,No Deposit,0,Transient-Party,65,NA,0
id29,No,Resort,110,September,38,17,1,3,1,0,0,BB,Direct,Direct,0,0,0,A,A,1,No Deposit,0,Transient-Party,65,NA,0
id30,No,Resort,138,September,38,17,2,3,2,0,0,BB,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient,74,NA,2
id32,No,Resort,90,September,39,21,3,7,2,0,0,HB,Online TA,TA/TO,0,0,0,D,F,0,No Deposit,0,Transient,99.5,NA,1
id33,No,Resort,55,September,40,29,2,5,2,0,0,BB,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,0,Contract,44.5,NA,1
id34,No,Resort,49,September,40,30,2,5,2,0,0,BB,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient,44.5,NA,0
id35,No,Resort,45,October,40,1,2,5,2,0,0,BB,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient,57.43,NA,2
id36,No,Resort,53,October,40,3,2,5,2,0,0,BB,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient,56,0,2
id37,No,Resort,0,October,41,6,0,2,2,0,0,BB,Direct,Direct,0,0,0,A,A,1,No Deposit,0,Transient,66,1,0
id38,No,Resort,78,October,41,7,0,4,2,0,0,BB,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient,64.29,1,0
id39,No,Resort,76,October,41,8,0,3,2,0,0,BB,Direct,Direct,0,0,0,A,A,0,No Deposit,0,Contract,56,NA,1
id40,No,Resort,71,October,41,8,0,3,1,0,0,BB,Direct,Direct,0,0,0,A,A,0,No Deposit,0,Contract,48,NA,1
id41,No,Resort,9,October,41,9,1,2,2,0,0,BB,Direct,Direct,0,0,0,A,A,0,No Deposit,0,Transient,63.33,NA,1
id42,No,Resort,10,October,41,9,2,2,2,0,0,BB,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,0,Transient,71.5,NA,2
id43,No,Resort,68,October,43,18,4,6,2,0,0,BB,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,0,Transient,55,NA,2
id44,No,Resort,29,October,43,22,1,3,2,0,0,BB,Direct,Direct,0,0,0,D,D,2,No Deposit,0,Transient-Party,56,NA,0
id45,No,Resort,3,October,43,23,0,2,2,0,0,BB,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,0,Transient,66,NA,1
id46,No,Resort,50,October,43,24,2,2,2,0,0,BB,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient,42.05,NA,0
id47,No,Resort,62,October,44,25,2,4,1,1,0,BB,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,0,Contract,44.8,0,0
id48,No,Resort,0,October,44,27,0,1,2,0,0,BB,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient,48,NA,1
id49,No,Resort,154,October,44,30,0,2,2,0,0,BB,Groups,Direct,0,0,0,A,A,0,No Deposit,0,Transient,36,NA,0
id50,No,Resort,3,October,44,31,0,1,1,0,0,BB,Groups,Direct,0,0,0,A,D,0,No Deposit,0,Transient,36,0,0
id53,No,Resort,62,November,47,18,2,4,2,0,NA,Undefined,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient-Party,69,NA,0
id54,No,Resort,36,November,47,20,0,2,2,0,0,FB,Groups,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient-Party,64,NA,0
id55,No,Resort,62,November,49,30,1,3,2,NA,0,HB,Direct,Direct,0,0,0,E,E,0,No Deposit,0,Transient,83.6,NA,1
id56,No,Resort,49,December,52,21,3,5,1,0,0,BB,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,0,Transient,46.27,NA,1
id59,No,Resort,165,December,53,30,0,4,2,0,0,Undefined,Groups,TA/TO,0,0,0,A,C,1,No Deposit,122,Transient-Party,136.5,NA,0
id60,No,Resort,103,February,7,10,0,2,2,0,0,BB,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,0,Transient,61.2,NA,0
id61,No,Resort,112,February,7,12,0,2,2,0,0,Undefined,Groups,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient-Party,70,NA,0
id62,No,Resort,123,February,9,27,1,1,2,0,0,FB,Groups,Direct,0,0,0,A,A,0,No Deposit,0,Transient-Party,64,NA,0
id63,No,Resort,162,March,13,24,0,3,3,0,0,Undefined,Groups,TA/TO,0,0,0,A,C,1,No Deposit,0,Transient-Party,113.4,NA,0
id67,No,Resort,171,April,15,4,1,1,2,0,0,HB,Groups,TA/TO,0,0,0,A,A,0,Non Refund,0,Transient-Party,85,NA,0
id68,No,Resort,171,April,15,4,1,3,2,0,NA,SC,Groups,TA/TO,0,0,0,A,I,4,No Deposit,0,Transient-Party,0,NA,0
id69,No,Resort,190,April,16,10,2,5,1,0,0,HB,Groups,Direct,0,0,0,A,A,0,No Deposit,0,Transient-Party,47.9,NA,0
id70,No,Resort,275,April,16,10,2,5,2,0,NA,HB,Groups,Direct,0,0,0,D,D,0,No Deposit,0,Transient-Party,74.45,0,0
id71,No,Resort,214,April,16,11,2,5,2,0,0,BB,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient,52.2,NA,2
id72,No,Resort,187,April,16,11,3,7,2,0,0,HB,Online TA,TA/TO,0,0,0,E,E,1,No Deposit,0,Transient,108,0,2
id74,No,Resort,185,April,17,18,1,1,2,0,0,HB,Groups,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient-Party,85,0,0
id75,No,Resort,172,April,17,18,3,5,1,0,0,HB,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient-Party,48.8,0,1
id76,No,Resort,191,April,17,22,1,2,2,0,0,Undefined,Offline TA/TO,TA/TO,0,0,0,A,A,1,No Deposit,0,Transient,85.33,NA,0
id77,No,Resort,200,April,18,27,1,4,2,0,0,BB,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,0,Transient,79.2,NA,2
id78,No,Resort,199,May,19,2,1,1,2,0,0,HB,Groups,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient-Party,85,NA,0
id79,No,Resort,288,May,19,3,2,5,2,0,0,BB,Offline TA/TO,TA/TO,0,0,0,E,E,0,No Deposit,0,Contract,55.83,NA,0
id80,No,Resort,203,May,20,10,0,2,2,0,0,BB,Groups,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient-Party,46,0,0
id81,No,Resort,211,May,20,14,1,1,1,0,NA,HB,Groups,TA/TO,0,0,0,A,E,1,No Deposit,0,Transient-Party,54.5,0,0
id82,No,Resort,213,May,21,16,1,1,1,0,NA,HB,Groups,TA/TO,0,0,0,A,A,1,No Deposit,0,Transient-Party,54.5,0,0
id83,No,Resort,201,May,21,16,3,8,2,0,0,BB,Online TA,TA/TO,0,0,0,A,C,0,No Deposit,0,Transient-Party,46.98,0,2
